from, to, dqf, range
2, 1, 87, 112
2, 1, 90, 164
2, 1, 69, 145
2, 1, 92, 190
2, 1, 82, 161
2, 1, 64, 101
2, 1, 73, 142
2, 1, 62, 110
2, 1, 75, 94
2, 1, 55, 80
2, 1, 75, 99
2, 1, 86, 169
2, 1, 50, 105
2, 1, 79, 132
2, 1, 0, 121
2, 1, 60, 107
2, 1, 70, 116
2, 1, 52, 66
2, 1, 74, 121
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 77, 148
2, 1, 85, 162
2, 1, 75, 118
2, 1, 80, 167
2, 1, 80, 144
2, 1, 74, 141
2, 1, 56, 92
2, 1, 79, 170
2, 1, 69, 109
2, 1, 54, 108
2, 1, 75, 193
2, 1, 0, 91
2, 1, 66, 138
2, 1, 0, 107
2, 1, 62, 75
2, 1, 85, 162
2, 1, 96, 187
2, 1, 71, 69
2, 1, 74, 133
2, 1, 93, 171
2, 1, 86, 171
2, 1, 0, 65535
2, 1, 74, 148
2, 1, 81, 122
2, 1, 54, 74
2, 1, 77, 190
2, 1, 97, 155
2, 1, 79, 158
2, 1, 54, 84
2, 1, 100, 180
2, 1, 71, 113
2, 1, 68, 147
2, 1, 78, 126
2, 1, 69, 89
2, 1, 73, 92
2, 1, 70, 88
2, 1, 71, 177
2, 1, 70, 92
2, 1, 63, 67
2, 1, 74, 147
2, 1, 69, 121
2, 1, 66, 96
2, 1, 71, 86
2, 1, 100, 85
2, 1, 82, 138
2, 1, 72, 103
2, 1, 87, 167
2, 1, 90, 153
2, 1, 79, 107
2, 1, 65, 177
2, 1, 78, 115
2, 1, 70, 93
2, 1, 70, 143
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 84, 144
2, 1, 76, 104
2, 1, 86, 165
2, 1, 78, 174
2, 1, 74, 103
2, 1, 83, 152
2, 1, 70, 171
2, 1, 85, 135
2, 1, 69, 113
2, 1, 77, 162
2, 1, 0, 65535
2, 1, 88, 152
2, 1, 54, 73
2, 1, 77, 133
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 82, 137
2, 1, 78, 92
2, 1, 48, 112
2, 1, 64, 119
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 69, 110
2, 1, 67, 113
2, 1, 70, 143
2, 1, 80, 110
2, 1, 73, 138
2, 1, 61, 92
2, 1, 58, 79
2, 1, 0, 65535
2, 1, 72, 92
2, 1, 66, 101
2, 1, 76, 92
2, 1, 65, 81
2, 1, 83, 114
2, 1, 63, 85
2, 1, 61, 83
2, 1, 61, 85
2, 1, 81, 197
2, 1, 78, 111
2, 1, 60, 98
2, 1, 70, 116
2, 1, 87, 174
2, 1, 76, 113
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 83, 110
2, 1, 83, 118
2, 1, 66, 80
2, 1, 80, 58
2, 1, 84, 104
2, 1, 59, 89
2, 1, 78, 103
2, 1, 66, 116
2, 1, 81, 111
2, 1, 85, 128
2, 1, 57, 54
2, 1, 97, 151
2, 1, 72, 92
2, 1, 87, 114
2, 1, 59, 77
2, 1, 53, 70
2, 1, 62, 139
2, 1, 65, 80
2, 1, 68, 77
2, 1, 64, 70
2, 1, 100, 51
2, 1, 71, 86
2, 1, 67, 80
2, 1, 84, 124
2, 1, 84, 105
2, 1, 0, 106
2, 1, 79, 165
2, 1, 80, 121
2, 1, 79, 105
2, 1, 77, 143
2, 1, 74, 103
2, 1, 81, 77
2, 1, 77, 126
2, 1, 74, 84
2, 1, 68, 53
2, 1, 68, 53
2, 1, 0, 65535
2, 1, 45, 61
2, 1, 78, 155
2, 1, 75, 167
2, 1, 0, 65535
2, 1, 0, 65407
2, 1, 95, 108
2, 1, 0, 119
2, 1, 0, 119
2, 1, 0, 65535
2, 1, 69, 134
2, 1, 73, 145
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 39, 85
2, 1, 95, 67
2, 1, 77, 175
2, 1, 62, 110
2, 1, 79, 89
2, 1, 78, 139
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 100, 148
2, 1, 79, 172
2, 1, 76, 136
2, 1, 66, 103
2, 1, 66, 103
2, 1, 0, 65535
2, 1, 59, 125
2, 1, 71, 83
2, 1, 55, 77
2, 1, 77, 135
2, 1, 78, 90
2, 1, 68, 71
2, 1, 81, 104
2, 1, 94, 109
2, 1, 85, 135
2, 1, 77, 122
2, 1, 66, 66
2, 1, 66, 66
2, 1, 0, 65535
2, 1, 79, 126
