from, to, dqf, range
2, 1, 78, 105
2, 1, 93, 75
2, 1, 64, 66
2, 1, 96, 83
2, 1, 95, 74
2, 1, 70, 47
2, 1, 82, 79
2, 1, 88, 84
2, 1, 83, 78
2, 1, 80, 73
2, 1, 84, 83
2, 1, 87, 77
2, 1, 66, 62
2, 1, 86, 88
2, 1, 75, 57
2, 1, 74, 67
2, 1, 81, 70
2, 1, 73, 58
2, 1, 78, 66
2, 1, 86, 71
2, 1, 95, 71
2, 1, 71, 55
2, 1, 75, 59
2, 1, 95, 74
2, 1, 78, 67
2, 1, 100, 97
2, 1, 70, 49
2, 1, 76, 45
2, 1, 88, 76
2, 1, 95, 107
2, 1, 91, 118
2, 1, 91, 93
2, 1, 82, 83
2, 1, 76, 85
2, 1, 88, 98
2, 1, 73, 61
2, 1, 82, 90
2, 1, 97, 74
2, 1, 75, 55
2, 1, 99, 67
2, 1, 85, 75
2, 1, 81, 82
2, 1, 86, 94
2, 1, 78, 62
2, 1, 67, 58
2, 1, 100, 30
2, 1, 78, 94
2, 1, 79, 56
2, 1, 80, 65
2, 1, 55, 36
2, 1, 68, 45
2, 1, 80, 59
2, 1, 58, 42
2, 1, 92, 73
2, 1, 79, 77
2, 1, 84, 71
2, 1, 100, 53
2, 1, 72, 52
2, 1, 83, 93
2, 1, 79, 111
2, 1, 82, 81
2, 1, 89, 96
2, 1, 80, 95
2, 1, 91, 93
2, 1, 89, 89
2, 1, 85, 88
2, 1, 73, 74
2, 1, 71, 78
2, 1, 75, 82
2, 1, 80, 67
2, 1, 76, 62
2, 1, 76, 82
2, 1, 75, 79
2, 1, 78, 82
2, 1, 83, 65
2, 1, 75, 55
2, 1, 64, 59
2, 1, 76, 60
2, 1, 91, 120
2, 1, 83, 71
2, 1, 75, 74
2, 1, 79, 69
2, 1, 65, 92
2, 1, 79, 114
2, 1, 68, 67
2, 1, 91, 52
2, 1, 74, 63
2, 1, 79, 86
2, 1, 85, 91
2, 1, 79, 73
2, 1, 75, 61
2, 1, 81, 93
2, 1, 96, 69
2, 1, 69, 62
2, 1, 85, 88
2, 1, 74, 54
2, 1, 85, 96
2, 1, 88, 100
2, 1, 84, 75
2, 1, 71, 62
2, 1, 97, 107
2, 1, 74, 77
2, 1, 84, 79
2, 1, 85, 89
2, 1, 88, 88
2, 1, 82, 102
2, 1, 83, 65
2, 1, 81, 57
2, 1, 89, 87
2, 1, 94, 74
2, 1, 69, 61
2, 1, 72, 58
2, 1, 94, 111
2, 1, 66, 61
2, 1, 87, 79
2, 1, 78, 64
2, 1, 87, 83
2, 1, 87, 76
2, 1, 77, 74
2, 1, 73, 74
2, 1, 79, 88
2, 1, 83, 91
2, 1, 67, 61
2, 1, 78, 89
2, 1, 88, 86
2, 1, 82, 73
2, 1, 83, 73
2, 1, 78, 104
2, 1, 78, 62
2, 1, 86, 78
2, 1, 82, 78
2, 1, 86, 77
2, 1, 64, 91
2, 1, 63, 65
2, 1, 94, 93
2, 1, 71, 78
2, 1, 77, 85
2, 1, 66, 63
2, 1, 81, 61
2, 1, 82, 72
2, 1, 82, 74
2, 1, 75, 58
2, 1, 75, 80
2, 1, 86, 73
2, 1, 88, 92
2, 1, 96, 103
2, 1, 66, 66
2, 1, 81, 95
2, 1, 80, 106
2, 1, 82, 66
2, 1, 78, 70
2, 1, 90, 121
2, 1, 83, 95
2, 1, 83, 81
2, 1, 82, 80
2, 1, 86, 103
2, 1, 84, 90
2, 1, 81, 97
2, 1, 83, 83
2, 1, 75, 76
2, 1, 68, 94
2, 1, 72, 62
2, 1, 81, 93
2, 1, 69, 74
2, 1, 84, 87
2, 1, 84, 78
2, 1, 72, 62
2, 1, 87, 101
2, 1, 79, 82
2, 1, 73, 87
2, 1, 92, 90
2, 1, 77, 49
2, 1, 62, 33
2, 1, 92, 96
2, 1, 77, 82
2, 1, 80, 89
2, 1, 91, 96
2, 1, 94, 71
2, 1, 60, 48
2, 1, 82, 80
2, 1, 100, 82
2, 1, 70, 69
2, 1, 78, 58
2, 1, 73, 65
2, 1, 87, 60
2, 1, 73, 55
2, 1, 91, 100
2, 1, 83, 98
2, 1, 76, 115
2, 1, 81, 102
2, 1, 74, 58
2, 1, 94, 73
2, 1, 54, 53
2, 1, 90, 90
2, 1, 87, 83
2, 1, 80, 75
2, 1, 67, 51
2, 1, 90, 80
2, 1, 98, 101
2, 1, 100, 119
2, 1, 71, 78
2, 1, 74, 70
2, 1, 86, 114
2, 1, 76, 65
2, 1, 80, 87
2, 1, 82, 76
2, 1, 78, 74
2, 1, 70, 58
2, 1, 83, 88
2, 1, 81, 67
2, 1, 90, 92
2, 1, 87, 85
2, 1, 91, 99
2, 1, 89, 95
2, 1, 86, 85
2, 1, 80, 77
2, 1, 92, 92
2, 1, 93, 98
2, 1, 87, 70
2, 1, 90, 85
2, 1, 83, 72
2, 1, 93, 97
2, 1, 77, 73
2, 1, 87, 99
2, 1, 97, 101
2, 1, 91, 94
2, 1, 93, 87
2, 1, 92, 101
2, 1, 90, 86
2, 1, 93, 98
2, 1, 91, 103
2, 1, 88, 113
2, 1, 77, 55
2, 1, 68, 57
2, 1, 79, 71
2, 1, 87, 91
2, 1, 81, 74
2, 1, 93, 93
2, 1, 92, 88
2, 1, 86, 84
2, 1, 77, 67
2, 1, 86, 77
2, 1, 87, 83
2, 1, 91, 90
2, 1, 93, 105
2, 1, 86, 80
2, 1, 79, 83
2, 1, 76, 60
2, 1, 83, 82
2, 1, 80, 66
2, 1, 84, 73
2, 1, 84, 72
2, 1, 80, 75
2, 1, 92, 93
2, 1, 63, 36
2, 1, 63, 36
2, 1, 0, 65535
2, 1, 84, 91
2, 1, 91, 102
2, 1, 88, 78
2, 1, 78, 62
2, 1, 85, 78
2, 1, 71, 66
2, 1, 72, 80
2, 1, 49, 51
2, 1, 85, 85
2, 1, 70, 47
2, 1, 48, 46
2, 1, 90, 101
2, 1, 77, 59
2, 1, 85, 71
2, 1, 80, 57
2, 1, 87, 85
2, 1, 88, 86
2, 1, 86, 87
2, 1, 70, 55
2, 1, 86, 78
2, 1, 88, 93
2, 1, 58, 59
2, 1, 75, 53
2, 1, 87, 92
2, 1, 77, 63
2, 1, 80, 70
2, 1, 79, 71
2, 1, 85, 82
2, 1, 81, 78
2, 1, 89, 86
2, 1, 100, 115
2, 1, 87, 91
2, 1, 78, 73
2, 1, 93, 111
2, 1, 94, 98
2, 1, 86, 87
2, 1, 88, 84
2, 1, 94, 88
2, 1, 88, 86
2, 1, 84, 87
2, 1, 91, 96
2, 1, 81, 72
2, 1, 81, 69
2, 1, 76, 66
2, 1, 78, 67
2, 1, 72, 54
2, 1, 77, 58
2, 1, 59, 41
2, 1, 59, 41
2, 1, 0, 65535
2, 1, 81, 62
2, 1, 87, 70
2, 1, 78, 75
2, 1, 76, 59
2, 1, 75, 77
2, 1, 79, 61
2, 1, 77, 53
2, 1, 73, 40
2, 1, 77, 57
2, 1, 81, 70
2, 1, 73, 45
2, 1, 76, 45
2, 1, 81, 48
2, 1, 77, 60
2, 1, 63, 37
2, 1, 70, 42
2, 1, 84, 83
2, 1, 85, 54
2, 1, 74, 58
2, 1, 88, 73
2, 1, 87, 95
2, 1, 87, 82
2, 1, 80, 93
2, 1, 84, 82
2, 1, 73, 58
2, 1, 76, 48
2, 1, 76, 68
2, 1, 76, 53
2, 1, 86, 46
2, 1, 76, 74
2, 1, 79, 76
2, 1, 61, 60
2, 1, 78, 71
2, 1, 79, 86
2, 1, 75, 67
2, 1, 75, 58
2, 1, 75, 48
2, 1, 74, 57
2, 1, 75, 54
2, 1, 70, 67
2, 1, 81, 68
2, 1, 78, 65
2, 1, 82, 84
2, 1, 75, 59
2, 1, 62, 56
2, 1, 78, 71
2, 1, 85, 77
2, 1, 84, 99
2, 1, 78, 62
2, 1, 73, 82
2, 1, 76, 66
2, 1, 82, 76
2, 1, 74, 58
2, 1, 81, 73
2, 1, 80, 81
2, 1, 88, 95
2, 1, 65, 57
2, 1, 83, 83
2, 1, 84, 82
2, 1, 75, 68
2, 1, 70, 67
2, 1, 66, 47
2, 1, 73, 81
2, 1, 82, 88
2, 1, 82, 88
2, 1, 0, 65535
2, 1, 76, 55
2, 1, 77, 59
2, 1, 68, 51
2, 1, 93, 77
2, 1, 83, 66
2, 1, 77, 59
2, 1, 88, 101
2, 1, 81, 68
2, 1, 79, 83
2, 1, 76, 80
2, 1, 75, 60
2, 1, 79, 72
2, 1, 81, 79
2, 1, 83, 81
2, 1, 80, 71
2, 1, 83, 80
2, 1, 80, 71
2, 1, 85, 65
2, 1, 77, 75
2, 1, 88, 94
2, 1, 71, 58
2, 1, 80, 78
2, 1, 86, 81
2, 1, 79, 65
2, 1, 79, 71
2, 1, 83, 71
2, 1, 86, 73
2, 1, 75, 72
2, 1, 77, 78
2, 1, 81, 81
2, 1, 69, 66
2, 1, 76, 82
2, 1, 76, 61
2, 1, 83, 70
2, 1, 80, 72
2, 1, 79, 71
2, 1, 77, 70
2, 1, 74, 64
2, 1, 80, 85
2, 1, 70, 67
2, 1, 83, 93
2, 1, 90, 118
2, 1, 74, 68
2, 1, 70, 66
2, 1, 89, 56
2, 1, 78, 80
2, 1, 80, 72
2, 1, 75, 67
2, 1, 75, 73
2, 1, 68, 67
2, 1, 65, 57
2, 1, 74, 74
2, 1, 68, 61
2, 1, 70, 76
2, 1, 85, 49
2, 1, 78, 67
2, 1, 75, 64
2, 1, 96, 81
2, 1, 81, 67
2, 1, 78, 70
2, 1, 82, 71
2, 1, 79, 72
2, 1, 76, 47
2, 1, 87, 73
2, 1, 78, 70
2, 1, 77, 64
2, 1, 78, 71
2, 1, 73, 63
2, 1, 69, 45
2, 1, 82, 79
2, 1, 84, 84
2, 1, 83, 78
2, 1, 83, 54
2, 1, 80, 97
2, 1, 80, 77
2, 1, 84, 78
2, 1, 79, 69
2, 1, 73, 86
2, 1, 80, 79
2, 1, 91, 69
2, 1, 83, 60
2, 1, 84, 70
2, 1, 73, 61
2, 1, 95, 78
2, 1, 72, 56
2, 1, 67, 56
2, 1, 69, 61
2, 1, 85, 86
2, 1, 90, 93
2, 1, 90, 77
2, 1, 87, 80
2, 1, 87, 95
2, 1, 89, 99
2, 1, 74, 71
2, 1, 68, 54
2, 1, 87, 92
2, 1, 66, 46
2, 1, 72, 61
2, 1, 79, 73
2, 1, 75, 70
2, 1, 90, 89
2, 1, 75, 52
2, 1, 79, 50
2, 1, 78, 63
2, 1, 73, 59
2, 1, 80, 83
2, 1, 98, 77
2, 1, 99, 78
2, 1, 78, 71
2, 1, 90, 89
2, 1, 80, 77
2, 1, 70, 57
2, 1, 74, 53
2, 1, 66, 77
2, 1, 78, 73
2, 1, 85, 80
2, 1, 75, 82
2, 1, 84, 103
2, 1, 66, 45
2, 1, 57, 49
2, 1, 78, 68
2, 1, 78, 66
2, 1, 81, 79
2, 1, 79, 64
2, 1, 73, 55
2, 1, 73, 58
2, 1, 76, 59
2, 1, 88, 71
2, 1, 78, 62
2, 1, 99, 83
2, 1, 58, 50
2, 1, 84, 69
2, 1, 73, 58
2, 1, 68, 67
2, 1, 63, 56
2, 1, 80, 83
2, 1, 78, 56
2, 1, 92, 86
2, 1, 87, 102
2, 1, 86, 99
2, 1, 67, 80
2, 1, 77, 60
2, 1, 74, 55
2, 1, 85, 62
2, 1, 83, 79
2, 1, 76, 46
2, 1, 80, 57
2, 1, 80, 71
2, 1, 85, 59
2, 1, 83, 74
2, 1, 86, 62
2, 1, 73, 58
2, 1, 83, 82
2, 1, 68, 57
2, 1, 74, 73
2, 1, 95, 93
2, 1, 81, 62
2, 1, 62, 54
2, 1, 88, 77
2, 1, 100, 70
2, 1, 79, 73
2, 1, 74, 72
2, 1, 47, 32
2, 1, 82, 50
2, 1, 73, 57
2, 1, 79, 55
2, 1, 79, 55
2, 1, 0, 65535
2, 1, 73, 54
2, 1, 81, 78
2, 1, 80, 58
2, 1, 74, 47
2, 1, 70, 79
2, 1, 85, 60
2, 1, 87, 96
2, 1, 84, 71
2, 1, 80, 65
2, 1, 84, 87
2, 1, 81, 76
2, 1, 99, 72
2, 1, 87, 60
2, 1, 86, 80
2, 1, 75, 52
2, 1, 74, 73
2, 1, 97, 61
2, 1, 73, 55
2, 1, 78, 61
2, 1, 81, 61
2, 1, 95, 59
2, 1, 94, 62
2, 1, 76, 60
2, 1, 82, 82
2, 1, 82, 73
2, 1, 77, 56
2, 1, 83, 72
2, 1, 91, 60
2, 1, 81, 53
2, 1, 71, 80
2, 1, 89, 58
2, 1, 87, 72
2, 1, 76, 61
2, 1, 92, 62
2, 1, 78, 55
2, 1, 77, 69
2, 1, 89, 66
2, 1, 76, 61
2, 1, 91, 97
2, 1, 97, 89
2, 1, 76, 58
2, 1, 77, 58
2, 1, 73, 67
2, 1, 76, 58
2, 1, 83, 66
2, 1, 74, 62
2, 1, 63, 54
2, 1, 70, 33
2, 1, 99, 77
2, 1, 82, 50
2, 1, 91, 73
2, 1, 100, 97
2, 1, 76, 50
2, 1, 74, 72
2, 1, 79, 73
2, 1, 69, 63
2, 1, 90, 88
2, 1, 73, 63
2, 1, 67, 63
2, 1, 73, 73
2, 1, 73, 70
2, 1, 78, 91
2, 1, 73, 60
2, 1, 77, 76
2, 1, 84, 87
2, 1, 75, 65
2, 1, 77, 80
2, 1, 81, 82
2, 1, 84, 87
2, 1, 73, 78
2, 1, 84, 85
2, 1, 82, 84
2, 1, 64, 65
2, 1, 77, 74
2, 1, 73, 77
2, 1, 80, 83
2, 1, 81, 76
2, 1, 76, 73
2, 1, 79, 81
2, 1, 81, 70
2, 1, 58, 55
2, 1, 97, 83
2, 1, 91, 74
2, 1, 77, 64
2, 1, 72, 52
2, 1, 81, 87
2, 1, 91, 84
2, 1, 89, 68
2, 1, 82, 82
2, 1, 100, 77
2, 1, 78, 77
2, 1, 84, 93
2, 1, 77, 86
2, 1, 78, 78
2, 1, 70, 62
2, 1, 75, 69
2, 1, 76, 66
2, 1, 74, 55
2, 1, 70, 69
2, 1, 74, 79
2, 1, 70, 58
2, 1, 66, 59
2, 1, 64, 58
2, 1, 61, 55
2, 1, 86, 131
2, 1, 70, 66
2, 1, 81, 90
2, 1, 57, 56
2, 1, 80, 80
2, 1, 83, 85
2, 1, 0, 0
2, 1, 69, 61
2, 1, 72, 73
2, 1, 0, 58
2, 1, 55, 46
2, 1, 53, 47
2, 1, 64, 56
2, 1, 100, 57
2, 1, 75, 61
2, 1, 68, 59
2, 1, 69, 61
2, 1, 64, 57
2, 1, 86, 85
2, 1, 83, 93
2, 1, 75, 73
2, 1, 76, 87
2, 1, 89, 115
2, 1, 70, 66
2, 1, 60, 73
2, 1, 100, 61
2, 1, 95, 122
2, 1, 94, 121
2, 1, 81, 77
2, 1, 76, 120
2, 1, 48, 48
2, 1, 78, 76
2, 1, 82, 81
2, 1, 71, 64
2, 1, 90, 80
2, 1, 82, 99
2, 1, 0, 73
2, 1, 84, 90
2, 1, 85, 117
2, 1, 82, 92
2, 1, 80, 77
2, 1, 75, 70
2, 1, 85, 90
2, 1, 82, 88
2, 1, 88, 84
2, 1, 91, 100
2, 1, 70, 71
2, 1, 84, 83
2, 1, 86, 86
2, 1, 76, 61
2, 1, 77, 64
2, 1, 97, 87
2, 1, 74, 66
2, 1, 76, 67
2, 1, 72, 64
2, 1, 90, 90
2, 1, 86, 93
2, 1, 81, 88
2, 1, 77, 59
2, 1, 76, 60
2, 1, 82, 70
2, 1, 85, 87
2, 1, 72, 86
2, 1, 72, 60
2, 1, 83, 62
2, 1, 70, 64
2, 1, 69, 56
2, 1, 76, 50
2, 1, 81, 65
2, 1, 76, 60
2, 1, 82, 77
2, 1, 83, 84
2, 1, 81, 83
2, 1, 76, 92
2, 1, 86, 79
2, 1, 81, 73
2, 1, 92, 91
2, 1, 67, 64
2, 1, 68, 57
2, 1, 76, 64
2, 1, 97, 96
2, 1, 75, 62
2, 1, 77, 55
2, 1, 79, 62
2, 1, 88, 103
2, 1, 84, 85
2, 1, 78, 104
2, 1, 83, 84
2, 1, 82, 74
2, 1, 75, 71
2, 1, 90, 96
2, 1, 75, 80
2, 1, 93, 89
2, 1, 84, 78
2, 1, 84, 94
2, 1, 85, 93
2, 1, 79, 65
2, 1, 97, 92
2, 1, 70, 64
2, 1, 90, 75
2, 1, 97, 65
2, 1, 84, 68
2, 1, 60, 51
2, 1, 95, 111
2, 1, 96, 98
2, 1, 91, 104
2, 1, 100, 108
2, 1, 73, 58
2, 1, 85, 91
2, 1, 82, 80
2, 1, 84, 80
2, 1, 86, 104
2, 1, 76, 85
2, 1, 73, 88
2, 1, 73, 69
2, 1, 80, 85
2, 1, 84, 86
2, 1, 81, 72
2, 1, 93, 80
2, 1, 76, 75
2, 1, 94, 68
2, 1, 96, 77
2, 1, 96, 86
2, 1, 86, 97
2, 1, 80, 92
2, 1, 87, 96
2, 1, 73, 50
2, 1, 53, 42
2, 1, 98, 99
2, 1, 89, 111
2, 1, 85, 90
2, 1, 78, 63
2, 1, 93, 132
2, 1, 77, 57
2, 1, 70, 86
2, 1, 63, 35
2, 1, 86, 76
2, 1, 92, 105
2, 1, 94, 109
2, 1, 75, 68
2, 1, 85, 108
2, 1, 93, 114
2, 1, 93, 97
2, 1, 93, 97
2, 1, 0, 65535
2, 1, 89, 109
