from, to, dqf, range, status, distance
2, 3, 0, 470, 16, 100
2, 3, 83, 126, 16, 100
2, 3, 87, 111, 16, 100
2, 3, 75, 52, 16, 100
2, 3, 0, 459, 16, 100
2, 3, 90, 122, 16, 100
2, 3, 0, 448, 16, 100
2, 3, 0, 465, 16, 100
2, 3, 83, 90, 16, 100
2, 3, 94, 99, 16, 100
2, 3, 100, 109, 16, 100
2, 3, 86, 157, 16, 100
2, 3, 0, 469, 16, 100
2, 3, 96, 147, 16, 100
2, 3, 0, 425, 16, 100
2, 3, 84, 124, 16, 100
2, 3, 0, 480, 16, 100
2, 3, 0, 482, 16, 100
2, 3, 96, 134, 16, 100
2, 3, 92, 125, 16, 100
2, 3, 0, 461, 16, 100
2, 3, 0, 432, 16, 100
2, 3, 81, 108, 16, 100
2, 3, 0, 463, 16, 100
2, 3, 94, 127, 16, 100
2, 3, 97, 160, 16, 100
2, 3, 96, 90, 16, 100
2, 3, 95, 112, 16, 100
2, 3, 0, 284, 16, 100
2, 3, 97, 102, 16, 100
2, 3, 0, 948, 16, 100
2, 3, 99, 139, 16, 100
2, 3, 0, 421, 16, 100
2, 3, 92, 126, 16, 100
2, 3, 96, 136, 16, 100
2, 3, 83, 93, 16, 100
2, 3, 0, 474, 16, 100
2, 3, 96, 142, 16, 100
2, 3, 83, 136, 16, 100
2, 3, 0, 445, 16, 100
2, 3, 92, 104, 16, 100
2, 3, 94, 139, 16, 100
2, 3, 0, 451, 16, 100
2, 3, 89, 120, 16, 100
2, 3, 0, 654, 16, 100
2, 3, 100, 102, 16, 100
2, 3, 93, 137, 16, 100
2, 3, 98, 150, 16, 100
2, 3, 100, 136, 16, 100
2, 3, 96, 135, 16, 100
2, 3, 90, 135, 16, 100
2, 3, 93, 132, 16, 100
2, 3, 95, 151, 16, 100
2, 3, 94, 152, 16, 100
2, 3, 0, 409, 16, 100
2, 3, 95, 116, 16, 100
2, 3, 100, 92, 16, 100
2, 3, 85, 108, 16, 100
2, 3, 92, 96, 16, 100
2, 3, 93, 145, 16, 100
2, 3, 86, 114, 16, 100
2, 3, 93, 142, 16, 100
2, 3, 0, 489, 16, 100
2, 3, 96, 107, 16, 100
2, 3, 79, 84, 16, 100
2, 3, 100, 186, 16, 100
2, 3, 0, 414, 16, 100
2, 3, 83, 111, 16, 100
2, 3, 100, 171, 16, 100
2, 3, 0, 426, 16, 100
2, 3, 94, 150, 16, 100
2, 3, 79, 84, 16, 100
2, 3, 0, 467, 16, 100
2, 3, 100, 268, 16, 100
2, 3, 0, 379, 16, 100
2, 3, 0, 953, 16, 100
2, 3, 80, 81, 16, 100
2, 3, 93, 166, 16, 100
2, 3, 0, 434, 16, 100
2, 3, 93, 132, 16, 100
2, 3, 85, 128, 16, 100
2, 3, 0, 457, 16, 100
2, 3, 85, 117, 16, 100
2, 3, 73, 89, 16, 100
2, 3, 0, 328, 16, 100
2, 3, 0, 464, 16, 100
2, 3, 68, 68, 16, 100
2, 3, 0, 471, 16, 100
2, 3, 79, 93, 16, 100
2, 3, 93, 131, 16, 100
2, 3, 0, 486, 16, 100
2, 3, 92, 104, 16, 100
2, 3, 98, 154, 16, 100
2, 3, 100, 171, 16, 100
2, 3, 0, 468, 16, 100
2, 3, 95, 124, 16, 100
2, 3, 0, 484, 16, 100
2, 3, 0, 460, 16, 100
2, 3, 98, 111, 16, 100
2, 3, 88, 90, 16, 100
2, 3, 0, 470, 16, 100
2, 3, 71, 70, 16, 100
2, 3, 0, 78, 16, 100
2, 3, 0, 475, 16, 100
2, 3, 75, 87, 16, 100
2, 3, 100, 180, 16, 100
2, 3, 96, 134, 16, 100
2, 3, 95, 126, 16, 100
