from, to, dqf, range, status, distance
2, 3, 65, 232, 16, 100
2, 3, 100, 207, 16, 100
2, 3, 100, 234, 16, 100
2, 3, 100, 216, 16, 100
2, 3, 100, 184, 16, 100
2, 3, 100, 184, 16, 100
2, 3, 100, 178, 16, 100
2, 3, 0, 301, 16, 100
2, 3, 100, 237, 16, 100
2, 3, 100, 152, 16, 100
2, 3, 100, 150, 16, 100
2, 3, 100, 173, 16, 100
2, 3, 100, 221, 16, 100
2, 3, 100, 221, 16, 100
2, 3, 100, 189, 16, 100
2, 3, 100, 264, 16, 100
2, 3, 100, 200, 16, 100
2, 3, 100, 226, 16, 100
2, 3, 100, 240, 16, 100
2, 3, 100, 157, 16, 100
2, 3, 100, 221, 16, 100
2, 3, 100, 162, 16, 100
2, 3, 100, 205, 16, 100
2, 3, 100, 189, 16, 100
2, 3, 100, 168, 16, 100
2, 3, 100, 229, 16, 100
2, 3, 100, 219, 16, 100
2, 3, 0, 272, 16, 100
2, 3, 100, 189, 16, 100
2, 3, 100, 232, 16, 100
2, 3, 100, 221, 16, 100
