from, to, dqf, range
2, 1, 85, 21
2, 1, 88, 298
2, 1, 47, 211
2, 1, 92, 331
2, 1, 89, 407
2, 1, 78, 337
2, 1, 61, 407
2, 1, 65, 558
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 68, 192
2, 1, 71, 241
2, 1, 86, 260
2, 1, 81, 224
2, 1, 97, 300
2, 1, 59, 287
2, 1, 87, 416
2, 1, 76, 266
2, 1, 89, 284
2, 1, 35, 316
2, 1, 82, 320
2, 1, 66, 325
2, 1, 75, 306
2, 1, 74, 463
2, 1, 64, 316
2, 1, 60, 331
2, 1, 90, 843
2, 1, 54, 297
2, 1, 65, 284
2, 1, 80, 369
2, 1, 71, 372
2, 1, 66, 256
2, 1, 77, 251
2, 1, 92, 348
2, 1, 69, 357
2, 1, 85, 412
2, 1, 70, 322
2, 1, 77, 329
2, 1, 75, 329
2, 1, 75, 317
2, 1, 80, 345
2, 1, 89, 331
2, 1, 77, 330
2, 1, 73, 343
2, 1, 59, 317
2, 1, 69, 341
2, 1, 64, 234
2, 1, 73, 341
2, 1, 60, 297
2, 1, 64, 312
2, 1, 73, 303
2, 1, 45, 344
2, 1, 66, 359
2, 1, 83, 345
2, 1, 73, 301
2, 1, 70, 446
2, 1, 98, 338
2, 1, 78, 305
2, 1, 69, 317
2, 1, 69, 368
2, 1, 68, 341
2, 1, 79, 374
2, 1, 89, 366
2, 1, 79, 368
2, 1, 91, 310
2, 1, 78, 357
2, 1, 74, 313
2, 1, 76, 331
2, 1, 74, 338
2, 1, 80, 282
2, 1, 85, 364
2, 1, 84, 343
2, 1, 79, 340
2, 1, 78, 351
2, 1, 83, 297
2, 1, 93, 325
2, 1, 96, 354
2, 1, 74, 341
2, 1, 79, 318
2, 1, 78, 378
2, 1, 88, 369
2, 1, 81, 354
2, 1, 80, 346
2, 1, 78, 338
2, 1, 89, 304
2, 1, 83, 372
2, 1, 84, 401
2, 1, 67, 382
2, 1, 63, 344
2, 1, 67, 406
2, 1, 71, 331
2, 1, 78, 348
2, 1, 83, 345
2, 1, 73, 339
2, 1, 75, 341
2, 1, 98, 338
2, 1, 80, 396
2, 1, 76, 316
2, 1, 84, 334
2, 1, 69, 310
2, 1, 56, 331
2, 1, 45, 376
2, 1, 32, 397
2, 1, 75, 313
2, 1, 53, 329
2, 1, 48, 186
2, 1, 73, 288
2, 1, 68, 422
2, 1, 76, 244
2, 1, 64, 327
2, 1, 85, 356
2, 1, 54, 373
2, 1, 78, 275
2, 1, 75, 276
2, 1, 70, 388
2, 1, 68, 521
2, 1, 68, 521
2, 1, 0, 65535
2, 1, 91, 312
2, 1, 67, 347
2, 1, 91, 341
2, 1, 73, 493
2, 1, 91, 250
2, 1, 88, 247
2, 1, 88, 319
2, 1, 62, 269
2, 1, 74, 339
2, 1, 72, 288
2, 1, 91, 309
2, 1, 73, 322
2, 1, 76, 277
2, 1, 77, 420
2, 1, 66, 350
2, 1, 69, 234
2, 1, 74, 310
2, 1, 67, 313
2, 1, 90, 331
2, 1, 87, 310
2, 1, 77, 299
2, 1, 85, 297
2, 1, 83, 325
2, 1, 83, 288
2, 1, 64, 265
2, 1, 62, 270
2, 1, 0, 709
2, 1, 81, 253
2, 1, 74, 293
2, 1, 83, 351
2, 1, 0, 883
2, 1, 68, 308
2, 1, 81, 312
2, 1, 53, 259
2, 1, 70, 246
2, 1, 71, 310
2, 1, 71, 310
2, 1, 0, 65535
2, 1, 70, 310
2, 1, 70, 300
2, 1, 67, 279
2, 1, 62, 327
2, 1, 67, 362
2, 1, 75, 344
2, 1, 69, 307
2, 1, 59, 300
2, 1, 81, 324
2, 1, 90, 278
2, 1, 67, 275
2, 1, 83, 329
2, 1, 83, 329
2, 1, 0, 65535
2, 1, 69, 242
2, 1, 95, 307
2, 1, 84, 318
2, 1, 63, 403
2, 1, 63, 267
2, 1, 83, 334
2, 1, 68, 231
2, 1, 68, 231
2, 1, 0, 65535
2, 1, 64, 208
2, 1, 80, 271
2, 1, 63, 307
2, 1, 84, 250
2, 1, 84, 250
2, 1, 0, 65535
2, 1, 59, 354
2, 1, 76, 296
2, 1, 67, 389
2, 1, 68, 275
2, 1, 49, 354
2, 1, 0, 65535
2, 1, 0, 65535
2, 1, 91, 263
2, 1, 84, 216
2, 1, 53, 440
2, 1, 70, 312
2, 1, 84, 332
2, 1, 56, 322
2, 1, 45, 651
2, 1, 75, 340
