from, to, dqf, range, status, distance
2, 3, 89, 97, 16, 98
2, 3, 93, 97, 16, 98
2, 3, 99, 103, 16, 98
2, 3, 96, 106, 16, 98
2, 3, 95, 85, 16, 98
2, 3, 75, 106, 16, 98
2, 3, 84, 100, 16, 98
2, 3, 98, 114, 16, 98
2, 3, 96, 91, 16, 98
2, 3, 95, 98, 16, 98
2, 3, 72, 96, 16, 98
2, 3, 88, 83, 16, 98
2, 3, 84, 117, 16, 98
2, 3, 85, 87, 16, 98
2, 3, 99, 104, 16, 98
2, 3, 95, 96, 16, 98
2, 3, 72, 98, 16, 98
2, 3, 94, 107, 16, 98
2, 3, 90, 95, 16, 98
2, 3, 91, 93, 16, 98
2, 3, 89, 105, 16, 98
2, 3, 95, 100, 16, 98
2, 3, 96, 114, 16, 98
2, 3, 81, 110, 16, 98
2, 3, 90, 96, 16, 98
2, 3, 98, 104, 16, 98
2, 3, 98, 102, 16, 98
2, 3, 95, 95, 16, 98
2, 3, 86, 90, 16, 98
2, 3, 93, 102, 16, 98
2, 3, 88, 87, 16, 98
2, 3, 98, 108, 16, 98
2, 3, 94, 107, 16, 98
2, 3, 95, 119, 16, 98
2, 3, 93, 101, 16, 98
2, 3, 89, 108, 16, 98
2, 3, 76, 69, 16, 98
2, 3, 95, 100, 16, 98
2, 3, 85, 87, 16, 98
2, 3, 96, 101, 16, 98
2, 3, 97, 106, 16, 98
2, 3, 95, 105, 16, 98
2, 3, 88, 93, 16, 98
2, 3, 85, 107, 16, 98
2, 3, 85, 114, 16, 98
2, 3, 75, 91, 16, 98
2, 3, 91, 110, 16, 98
2, 3, 87, 104, 16, 98
2, 3, 78, 102, 16, 98
2, 3, 97, 96, 16, 98
2, 3, 96, 98, 16, 98
2, 3, 96, 99, 16, 98
2, 3, 98, 103, 16, 98
2, 3, 99, 99, 16, 98
2, 3, 84, 75, 16, 98
2, 3, 99, 95, 16, 98
2, 3, 83, 72, 16, 98
2, 3, 96, 96, 16, 98
2, 3, 97, 86, 16, 98
2, 3, 99, 99, 16, 98
2, 3, 92, 82, 16, 98
2, 3, 94, 101, 16, 98
2, 3, 96, 104, 16, 98
2, 3, 91, 90, 16, 98
2, 3, 99, 96, 16, 98
2, 3, 88, 84, 16, 98
2, 3, 96, 96, 16, 98
2, 3, 97, 88, 16, 98
2, 3, 75, 84, 16, 98
2, 3, 97, 95, 16, 98
2, 3, 79, 97, 16, 98
2, 3, 95, 81, 16, 98
2, 3, 80, 57, 16, 98
2, 3, 95, 98, 16, 98
2, 3, 97, 98, 16, 98
2, 3, 98, 96, 16, 98
2, 3, 98, 102, 16, 98
2, 3, 97, 97, 16, 98
2, 3, 97, 96, 16, 98
2, 3, 92, 89, 16, 98
2, 3, 96, 102, 16, 98
2, 3, 97, 96, 16, 98
2, 3, 94, 94, 16, 98
2, 3, 95, 96, 16, 98
2, 3, 97, 101, 16, 98
2, 3, 98, 96, 16, 98
2, 3, 90, 97, 16, 98
2, 3, 96, 97, 16, 98
2, 3, 96, 97, 16, 98
2, 3, 0, 65535, 24, 98
2, 3, 95, 96, 16, 98
2, 3, 97, 98, 16, 98
2, 3, 95, 97, 16, 98
2, 3, 96, 95, 16, 98
2, 3, 96, 97, 16, 98
