from, to, dqf, range, status, distance, angle
2, 3, 80, 143, 16, 200, 300
2, 3, 89, 237, 16, 200, 300
2, 3, 86, 266, 16, 200, 300
2, 3, 93, 251, 16, 200, 300
2, 3, 86, 236, 16, 200, 300
2, 3, 82, 213, 16, 200, 300
2, 3, 76, 241, 16, 200, 300
2, 3, 80, 267, 16, 200, 300
2, 3, 88, 252, 16, 200, 300
2, 3, 81, 205, 16, 200, 300
2, 3, 92, 246, 16, 200, 300
2, 3, 89, 251, 16, 200, 300
2, 3, 77, 178, 16, 200, 300
2, 3, 85, 201, 16, 200, 300
2, 3, 94, 265, 16, 200, 300
2, 3, 88, 202, 16, 200, 300
2, 3, 95, 268, 16, 200, 300
2, 3, 93, 263, 16, 200, 300
2, 3, 78, 257, 16, 200, 300
2, 3, 80, 255, 16, 200, 300
2, 3, 84, 251, 16, 200, 300
2, 3, 83, 223, 16, 200, 300
2, 3, 86, 264, 16, 200, 300
2, 3, 90, 268, 16, 200, 300
2, 3, 90, 251, 16, 200, 300
2, 3, 92, 240, 16, 200, 300
2, 3, 88, 219, 16, 200, 300
2, 3, 82, 212, 16, 200, 300
2, 3, 88, 254, 16, 200, 300
2, 3, 86, 251, 16, 200, 300
2, 3, 75, 251, 16, 200, 300
2, 3, 81, 216, 16, 200, 300
2, 3, 80, 275, 16, 200, 300
2, 3, 80, 215, 16, 200, 300
2, 3, 86, 257, 16, 200, 300
2, 3, 92, 259, 16, 200, 300
2, 3, 96, 262, 16, 200, 300
2, 3, 91, 257, 16, 200, 300
2, 3, 92, 243, 16, 200, 300
2, 3, 91, 244, 16, 200, 300
2, 3, 92, 260, 16, 200, 300
2, 3, 92, 257, 16, 200, 300
2, 3, 93, 252, 16, 200, 300
2, 3, 85, 271, 16, 200, 300
2, 3, 84, 272, 16, 200, 300
2, 3, 83, 195, 16, 200, 300
2, 3, 89, 267, 16, 200, 300
2, 3, 69, 193, 16, 200, 300
2, 3, 95, 263, 16, 200, 300
2, 3, 94, 258, 16, 200, 300
2, 3, 91, 253, 16, 200, 300
2, 3, 94, 260, 16, 200, 300
2, 3, 90, 255, 16, 200, 300
2, 3, 96, 274, 16, 200, 300
2, 3, 93, 247, 16, 200, 300
2, 3, 70, 264, 16, 200, 300
2, 3, 86, 263, 16, 200, 300
2, 3, 90, 251, 16, 200, 300
2, 3, 82, 205, 16, 200, 300
2, 3, 94, 261, 16, 200, 300
2, 3, 90, 258, 16, 200, 300
2, 3, 85, 257, 16, 200, 300
2, 3, 91, 264, 16, 200, 300
2, 3, 87, 248, 16, 200, 300
2, 3, 87, 226, 16, 200, 300
2, 3, 94, 260, 16, 200, 300
2, 3, 90, 251, 16, 200, 300
2, 3, 77, 245, 16, 200, 300
2, 3, 82, 245, 16, 200, 300
2, 3, 90, 254, 16, 200, 300
2, 3, 84, 234, 16, 200, 300
2, 3, 87, 256, 16, 200, 300
2, 3, 93, 257, 16, 200, 300
2, 3, 92, 266, 16, 200, 300
2, 3, 91, 259, 16, 200, 300
2, 3, 90, 257, 16, 200, 300
2, 3, 93, 255, 16, 200, 300
2, 3, 90, 252, 16, 200, 300
2, 3, 88, 255, 16, 200, 300
2, 3, 81, 253, 16, 200, 300
2, 3, 88, 261, 16, 200, 300
2, 3, 93, 267, 16, 200, 300
2, 3, 87, 239, 16, 200, 300
2, 3, 93, 240, 16, 200, 300
2, 3, 93, 257, 16, 200, 300
2, 3, 94, 260, 16, 200, 300
2, 3, 94, 259, 16, 200, 300
2, 3, 85, 220, 16, 200, 300
2, 3, 92, 253, 16, 200, 300
2, 3, 94, 259, 16, 200, 300
2, 3, 92, 257, 16, 200, 300
2, 3, 92, 246, 16, 200, 300
2, 3, 83, 248, 16, 200, 300
2, 3, 78, 273, 16, 200, 300
2, 3, 89, 255, 16, 200, 300
2, 3, 81, 208, 16, 200, 300
2, 3, 92, 249, 16, 200, 300
2, 3, 87, 241, 16, 200, 300
2, 3, 92, 257, 16, 200, 300
2, 3, 95, 270, 16, 200, 300
2, 3, 93, 261, 16, 200, 300
2, 3, 92, 252, 16, 200, 300
2, 3, 93, 260, 16, 200, 300
2, 3, 87, 223, 16, 200, 300
2, 3, 81, 257, 16, 200, 300
2, 3, 70, 234, 16, 200, 300
2, 3, 86, 221, 16, 200, 300
2, 3, 87, 261, 16, 200, 300
2, 3, 93, 267, 16, 200, 300
2, 3, 88, 259, 16, 200, 300
2, 3, 93, 261, 16, 200, 300
2, 3, 88, 234, 16, 200, 300
2, 3, 93, 243, 16, 200, 300
2, 3, 92, 254, 16, 200, 300
2, 3, 90, 251, 16, 200, 300
2, 3, 93, 261, 16, 200, 300
2, 3, 75, 231, 16, 200, 300
2, 3, 85, 252, 16, 200, 300
2, 3, 91, 261, 16, 200, 300
2, 3, 85, 233, 16, 200, 300
2, 3, 85, 255, 16, 200, 300
2, 3, 93, 257, 16, 200, 300
2, 3, 72, 226, 16, 200, 300
2, 3, 70, 208, 16, 200, 300
2, 3, 96, 258, 16, 200, 300
2, 3, 93, 256, 16, 200, 300
2, 3, 92, 250, 16, 200, 300
2, 3, 90, 260, 16, 200, 300
2, 3, 70, 258, 16, 200, 300
2, 3, 85, 256, 16, 200, 300
2, 3, 95, 266, 16, 200, 300
2, 3, 90, 260, 16, 200, 300
2, 3, 90, 239, 16, 200, 300
2, 3, 81, 257, 16, 200, 300
2, 3, 93, 252, 16, 200, 300
2, 3, 90, 254, 16, 200, 300
2, 3, 92, 272, 16, 200, 300
2, 3, 87, 235, 16, 200, 300
2, 3, 92, 262, 16, 200, 300
2, 3, 92, 259, 16, 200, 300
2, 3, 80, 260, 16, 200, 300
2, 3, 82, 251, 16, 200, 300
2, 3, 78, 266, 16, 200, 300
2, 3, 79, 179, 16, 200, 300
2, 3, 86, 207, 16, 200, 300
2, 3, 91, 258, 16, 200, 300
2, 3, 93, 240, 16, 200, 300
2, 3, 93, 271, 16, 200, 300
2, 3, 91, 261, 16, 200, 300
2, 3, 90, 245, 16, 200, 300
2, 3, 92, 256, 16, 200, 300
2, 3, 90, 263, 16, 200, 300
2, 3, 92, 263, 16, 200, 300
2, 3, 82, 229, 16, 200, 300
2, 3, 84, 266, 16, 200, 300
2, 3, 81, 262, 16, 200, 300
2, 3, 92, 235, 16, 200, 300
2, 3, 91, 230, 16, 200, 300
2, 3, 82, 216, 16, 200, 300
2, 3, 93, 261, 16, 200, 300
2, 3, 94, 242, 16, 200, 300
2, 3, 78, 215, 16, 200, 300
2, 3, 83, 217, 16, 200, 300
2, 3, 96, 254, 16, 200, 300
2, 3, 89, 234, 16, 200, 300
2, 3, 73, 226, 16, 200, 300
2, 3, 84, 271, 16, 200, 300
2, 3, 84, 250, 16, 200, 300
2, 3, 70, 219, 16, 200, 300
2, 3, 89, 209, 16, 200, 300
2, 3, 87, 263, 16, 200, 300
2, 3, 60, 190, 16, 200, 300
2, 3, 75, 194, 16, 200, 300
2, 3, 89, 236, 16, 200, 300
2, 3, 92, 264, 16, 200, 300
2, 3, 73, 261, 16, 200, 300
2, 3, 87, 253, 16, 200, 300
2, 3, 65, 257, 16, 200, 300
2, 3, 69, 163, 16, 200, 300
2, 3, 78, 251, 16, 200, 300
2, 3, 85, 264, 16, 200, 300
2, 3, 88, 233, 16, 200, 300
2, 3, 84, 186, 16, 200, 300
2, 3, 93, 256, 16, 200, 300
2, 3, 88, 247, 16, 200, 300
2, 3, 94, 251, 16, 200, 300
2, 3, 93, 259, 16, 200, 300
2, 3, 94, 245, 16, 200, 300
2, 3, 94, 264, 16, 200, 300
2, 3, 92, 254, 16, 200, 300
2, 3, 86, 240, 16, 200, 300
2, 3, 83, 257, 16, 200, 300
2, 3, 79, 230, 16, 200, 300
2, 3, 79, 235, 16, 200, 300
2, 3, 87, 235, 16, 200, 300
2, 3, 83, 256, 16, 200, 300
2, 3, 78, 190, 16, 200, 300
2, 3, 92, 240, 16, 200, 300
2, 3, 90, 235, 16, 200, 300
2, 3, 93, 252, 16, 200, 300
