from, to, dqf, range, status, distance
2, 3, 84, 65, 16, 64
2, 3, 76, 41, 16, 64
2, 3, 89, 66, 16, 64
2, 3, 86, 58, 16, 64
2, 3, 74, 44, 16, 64
2, 3, 77, 39, 16, 64
2, 3, 88, 59, 16, 64
2, 3, 85, 60, 16, 64
2, 3, 81, 51, 16, 64
2, 3, 95, 80, 16, 64
2, 3, 82, 57, 16, 64
2, 3, 95, 64, 16, 64
2, 3, 83, 49, 16, 64
2, 3, 98, 68, 16, 64
2, 3, 89, 72, 16, 64
2, 3, 73, 39, 16, 64
2, 3, 84, 49, 16, 64
2, 3, 85, 54, 16, 64
2, 3, 87, 48, 16, 64
2, 3, 81, 48, 16, 64
2, 3, 86, 47, 16, 64
2, 3, 88, 56, 16, 64
2, 3, 85, 52, 16, 64
2, 3, 63, 31, 16, 64
2, 3, 94, 72, 16, 64
2, 3, 91, 53, 16, 64
2, 3, 70, 38, 16, 64
2, 3, 88, 57, 16, 64
2, 3, 86, 54, 16, 64
2, 3, 91, 65, 16, 64
2, 3, 87, 55, 16, 64
2, 3, 77, 41, 16, 64
2, 3, 79, 49, 16, 64
2, 3, 81, 50, 16, 64
2, 3, 91, 79, 16, 64
2, 3, 80, 51, 16, 64
2, 3, 94, 61, 16, 64
2, 3, 79, 48, 16, 64
2, 3, 74, 41, 16, 64
2, 3, 87, 59, 16, 64
2, 3, 80, 48, 16, 64
2, 3, 62, 36, 16, 64
2, 3, 90, 65, 16, 64
2, 3, 79, 46, 16, 64
2, 3, 80, 50, 16, 64
2, 3, 78, 43, 16, 64
2, 3, 80, 40, 16, 64
2, 3, 84, 50, 16, 64
2, 3, 80, 52, 16, 64
2, 3, 91, 59, 16, 64
2, 3, 87, 63, 16, 64
2, 3, 78, 44, 16, 64
2, 3, 82, 63, 16, 64
2, 3, 78, 38, 16, 64
2, 3, 76, 37, 16, 64
2, 3, 71, 40, 16, 64
2, 3, 83, 43, 16, 64
2, 3, 0, 43, 16, 64
2, 3, 96, 59, 16, 64
2, 3, 82, 57, 16, 64
2, 3, 69, 38, 16, 64
2, 3, 91, 63, 16, 64
2, 3, 90, 63, 16, 64
2, 3, 67, 37, 16, 64
2, 3, 87, 48, 16, 64
2, 3, 77, 40, 16, 64
2, 3, 100, 51, 16, 64
2, 3, 72, 39, 16, 64
2, 3, 84, 51, 16, 64
2, 3, 68, 39, 16, 64
2, 3, 67, 37, 16, 64
2, 3, 68, 37, 16, 64
2, 3, 71, 26, 16, 64
2, 3, 79, 45, 16, 64
2, 3, 99, 76, 16, 64
2, 3, 85, 49, 16, 64
2, 3, 77, 48, 16, 64
2, 3, 80, 45, 16, 64
2, 3, 78, 40, 16, 64
2, 3, 74, 35, 16, 64
2, 3, 86, 56, 16, 64
2, 3, 80, 41, 16, 64
2, 3, 66, 30, 16, 64
2, 3, 77, 41, 16, 64
2, 3, 90, 47, 16, 64
2, 3, 71, 32, 16, 64
2, 3, 86, 52, 16, 64
2, 3, 91, 70, 16, 64
2, 3, 83, 38, 16, 64
2, 3, 81, 46, 16, 64
2, 3, 68, 42, 16, 64
2, 3, 81, 46, 16, 64
2, 3, 81, 44, 16, 64
2, 3, 64, 37, 16, 64
2, 3, 73, 26, 16, 64
2, 3, 99, 53, 16, 64
2, 3, 74, 41, 16, 64
2, 3, 80, 39, 16, 64
2, 3, 79, 45, 16, 64
2, 3, 91, 66, 16, 64
2, 3, 84, 54, 16, 64
2, 3, 93, 68, 16, 64
2, 3, 81, 46, 16, 64
2, 3, 85, 51, 16, 64
2, 3, 92, 46, 16, 64
2, 3, 87, 65, 16, 64
2, 3, 96, 62, 16, 64
2, 3, 87, 66, 16, 64
2, 3, 75, 42, 16, 64
