from, to, dqf, range, status, distance
2, 3, 89, 191, 16, 214
2, 3, 88, 211, 16, 214
2, 3, 90, 215, 16, 214
2, 3, 86, 269, 16, 214
2, 3, 84, 217, 16, 214
2, 3, 82, 236, 16, 214
2, 3, 85, 258, 16, 214
2, 3, 80, 199, 16, 214
2, 3, 90, 227, 16, 214
2, 3, 77, 202, 16, 214
2, 3, 90, 264, 16, 214
2, 3, 79, 187, 16, 214
2, 3, 80, 207, 16, 214
2, 3, 83, 228, 16, 214
2, 3, 86, 263, 16, 214
2, 3, 83, 211, 16, 214
2, 3, 85, 262, 16, 214
2, 3, 73, 160, 16, 214
2, 3, 85, 220, 16, 214
2, 3, 88, 264, 16, 214
2, 3, 91, 295, 16, 214
2, 3, 84, 246, 16, 214
2, 3, 88, 269, 16, 214
2, 3, 85, 240, 16, 214
2, 3, 84, 202, 16, 214
2, 3, 83, 281, 16, 214
2, 3, 78, 211, 16, 214
2, 3, 77, 221, 16, 214
2, 3, 91, 281, 16, 214
2, 3, 80, 219, 16, 214
2, 3, 79, 236, 16, 214
2, 3, 86, 270, 16, 214
2, 3, 87, 254, 16, 214
2, 3, 85, 213, 16, 214
2, 3, 88, 269, 16, 214
2, 3, 87, 235, 16, 214
2, 3, 82, 228, 16, 214
2, 3, 80, 236, 16, 214
2, 3, 66, 258, 16, 214
2, 3, 85, 282, 16, 214
2, 3, 88, 276, 16, 214
2, 3, 81, 237, 16, 214
2, 3, 85, 228, 16, 214
2, 3, 84, 254, 16, 214
2, 3, 83, 235, 16, 214
2, 3, 85, 224, 16, 214
2, 3, 84, 272, 16, 214
2, 3, 78, 192, 16, 214
2, 3, 84, 275, 16, 214
2, 3, 82, 209, 16, 214
2, 3, 88, 272, 16, 214
2, 3, 80, 231, 16, 214
2, 3, 80, 247, 16, 214
2, 3, 82, 242, 16, 214
2, 3, 87, 275, 16, 214
2, 3, 83, 272, 16, 214
2, 3, 82, 236, 16, 214
2, 3, 83, 234, 16, 214
2, 3, 85, 265, 16, 214
2, 3, 87, 244, 16, 214
2, 3, 89, 278, 16, 214
2, 3, 85, 242, 16, 214
2, 3, 91, 279, 16, 214
2, 3, 82, 273, 16, 214
2, 3, 82, 250, 16, 214
2, 3, 88, 242, 16, 214
2, 3, 85, 279, 16, 214
2, 3, 88, 288, 16, 214
2, 3, 83, 261, 16, 214
2, 3, 88, 242, 16, 214
2, 3, 81, 273, 16, 214
2, 3, 83, 250, 16, 214
2, 3, 83, 231, 16, 214
2, 3, 88, 261, 16, 214
