from, to, dqf, range, status, distance
2, 3, 73, 86, 16, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
82, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65407, 233, 100
2, 3, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 3, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 3, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 3, 82, 99, 16, 100
2, 3, 0, 65535, 233, 100
2, 3, 0, 65535, 233, 100
2, 3, 84, 84, 16, 100
2, 3, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 3, 0, 65535, 233, 100
2, 3, 89, 99, 16, 100
2, 3, 0, 65535, 233, 100
2, 3, 0, 65535, 233, 100
2, 3, 86, 107, 16, 100
2, 2, 0, 65535, 233, 100
2, 3, 82, 94, 16, 100
2, 3, 90, 110, 16, 100
2, 3, 0, 65535, 233, 100
2, 3, 87, 104, 16, 100
2, 3, 87, 92, 16, 100
2, 3, 0, 65535, 233, 100
2, 3, 0, 65535, 233, 100
2, 3, 84, 87, 16, 100
2, 3, 92, 126, 16, 100
2, 3, 65, 56, 16, 100
2, 3, 86, 104, 16, 100
2, 3, 84, 103, 16, 100
2, 2, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 3, 0, 65535, 233, 100
2, 2, 0, 65535, 233, 100
2, 3, 90, 111, 16, 100
2, 3, 68, 85, 16, 100
2, 3, 87, 106, 16, 100
2, 3, 93, 118, 16, 100
2, 3, 100, 123, 16, 100
2, 3, 74, 32854, 16, 100
2, 3, 86, 95, 16, 100
2, 3, 85, 100, 16, 100
2, 3, 87, 95, 16, 100
2, 3, 85, 105, 16, 100
2, 3, 91, 99, 16, 100
2, 3, 86, 103, 16, 100
2, 3, 84, 98, 16, 100
2, 3, 92, 109, 16, 100
2, 3, 85, 89, 16, 100
2, 3, 81, 90, 16, 100
2, 3, 90, 112, 16, 100
2, 3, 77, 73, 16, 100
2, 3, 85, 108, 16, 100
2, 3, 93, 122, 16, 100
2, 3, 81, 89, 16, 100
2, 3, 81, 97, 16, 100
2, 3, 85, 93, 16, 100
2, 3, 93, 104, 16, 100
2, 3, 83, 90, 16, 100
2, 3, 83, 98, 16, 100
2, 3, 90, 98, 16, 100
2, 3, 89, 101, 16, 100
2, 3, 88, 106, 16, 100
2, 3, 88, 94, 16, 100
2, 3, 85, 97, 16, 100
2, 3, 80, 89, 16, 100
2, 3, 77, 70, 16, 100
2, 3, 75, 64, 16, 100
2, 3, 80, 69, 16, 100
2, 3, 87, 88, 16, 100
2, 3, 86, 113, 16, 100
2, 3, 69, 57, 16, 100
2, 3, 84, 85, 16, 100
2, 3, 90, 101, 16, 100
2, 3, 85, 92, 16, 100
2, 3, 85, 96, 16, 100
2, 3, 81, 90, 16, 100
2, 3, 83, 83, 16, 100
2, 3, 84, 98, 16, 100
2, 3, 84, 99, 16, 100
2, 3, 82, 90, 16, 100
2, 3, 84, 98, 16, 100
2, 3, 84, 93, 16, 100
2, 3, 88, 100, 16, 100
2, 3, 89, 111, 16, 100
2, 3, 91, 110, 16, 100
2, 3, 81, 72, 16, 100
2, 3, 100, 53, 16, 100
2, 3, 81, 75, 16, 100
2, 3, 88, 113, 16, 100
2, 3, 87, 113, 16, 100
2, 3, 88, 93, 16, 100
2, 3, 84, 108, 16, 100
2, 3, 92, 108, 16, 100
2, 3, 87, 109, 16, 100
2, 3, 88, 107, 16, 100
2, 3, 78, 78, 16, 100
2, 3, 86, 98, 16, 100
2, 3, 71, 74, 16, 100
2, 3, 85, 95, 16, 100
2, 3, 84, 102, 16, 100
2, 3, 94, 127, 16, 100
2, 3, 80, 100, 16, 100
2, 3, 82, 97, 16, 100
2, 3, 84, 93, 16, 100
2, 3, 83, 78, 16, 100
2, 3, 85, 98, 16, 100
2, 3, 87, 96, 16, 100
2, 3, 87, 96, 16, 100
2, 3, 86, 102, 16, 100
2, 3, 83, 88, 16, 100
2, 3, 88, 103, 16, 100
2, 3, 84, 100, 16, 100
2, 3, 86, 98, 16, 100
2, 3, 87, 91, 16, 100
2, 3, 88, 94, 16, 100
2, 3, 85, 98, 16, 100
2, 3, 85, 114, 16, 100
2, 3, 78, 76, 16, 100
2, 3, 74, 78, 16, 100
2, 3, 84, 107, 16, 100
2, 3, 84, 96, 16, 100
2, 3, 86, 99, 16, 100
2, 3, 86, 88, 16, 100
2, 3, 87, 104, 16, 100
2, 3, 82, 87, 16, 100
2, 3, 88, 102, 16, 100
2, 3, 88, 111, 16, 100
2, 3, 81, 89, 16, 100
2, 3, 79, 93, 16, 100
2, 3, 84, 106, 16, 100
2, 3, 87, 107, 16, 100
