from, to, dqf, range, status, distance
3, 2, 87, 94, 16, 200
3, 2, 74, 107, 16, 200
3, 2, 79, 143, 16, 200
3, 2, 94, 117, 16, 200
3, 2, 77, 106, 16, 200
3, 2, 90, 107, 16, 200
3, 2, 0, 290, 16, 200
3, 2, 95, 104, 16, 200
3, 2, 99, 121, 16, 200
3, 2, 89, 105, 16, 200
3, 2, 93, 104, 16, 200
3, 2, 94, 109, 16, 200
3, 2, 96, 117, 16, 200
3, 2, 88, 105, 16, 200
3, 2, 95, 114, 16, 200
3, 2, 96, 120, 16, 200
3, 2, 95, 113, 16, 200
3, 2, 92, 126, 16, 200
3, 2, 89, 103, 16, 200
3, 2, 0, 291, 16, 200
3, 2, 82, 130, 16, 200
3, 2, 95, 112, 16, 200
3, 2, 95, 112, 16, 200
3, 2, 83, 111, 16, 200
3, 2, 98, 110, 16, 200
3, 2, 94, 115, 16, 200
3, 2, 90, 100, 16, 200
3, 2, 88, 106, 16, 200
3, 2, 92, 111, 16, 200
3, 2, 90, 110, 16, 200
3, 2, 95, 112, 16, 200
3, 2, 96, 121, 16, 200
3, 2, 99, 115, 16, 200
3, 2, 93, 110, 16, 200
3, 2, 86, 110, 16, 200
3, 2, 91, 104, 16, 200
3, 2, 94, 116, 16, 200
3, 2, 79, 108, 16, 200
3, 2, 87, 102, 16, 200
3, 2, 88, 118, 16, 200
3, 2, 94, 109, 16, 200
3, 2, 94, 111, 16, 200
3, 2, 91, 106, 16, 200
3, 2, 89, 119, 16, 200
3, 2, 92, 113, 16, 200
3, 2, 97, 111, 16, 200
3, 2, 93, 114, 16, 200
3, 2, 91, 120, 16, 200
3, 2, 96, 115, 16, 200
3, 2, 90, 106, 16, 200
3, 2, 93, 106, 16, 200
3, 2, 82, 109, 16, 200
