from, to, dqf, range, status, distance
3, 1, 63, 107, 16, 200
3, 1, 68, 142, 16, 200
3, 1, 87, 184, 16, 200
3, 1, 95, 86, 16, 200
3, 1, 70, 148, 16, 200
3, 1, 77, 164, 16, 200
3, 1, 71, 136, 16, 200
3, 1, 60, 162, 16, 200
3, 1, 76, 109, 16, 200
3, 1, 76, 148, 16, 200
3, 1, 78, 212, 16, 200
3, 1, 66, 142, 16, 200
3, 1, 86, 230, 16, 200
3, 1, 65, 123, 16, 200
3, 1, 72, 224, 16, 200
3, 1, 75, 136, 16, 200
3, 1, 82, 229, 16, 200
3, 1, 63, 108, 16, 200
3, 1, 79, 165, 16, 200
3, 1, 72, 205, 16, 200
3, 1, 76, 163, 16, 200
3, 1, 86, 229, 16, 200
3, 1, 78, 155, 16, 200
3, 1, 78, 188, 16, 200
3, 1, 77, 158, 16, 200
3, 1, 71, 228, 16, 200
3, 1, 81, 187, 16, 200
3, 1, 79, 151, 16, 200
3, 1, 73, 161, 16, 200
3, 1, 79, 171, 16, 200
3, 1, 78, 155, 16, 200
3, 1, 72, 227, 16, 200
3, 1, 84, 210, 16, 200
3, 1, 90, 195, 16, 200
3, 1, 82, 197, 16, 200
3, 1, 86, 208, 16, 200
3, 1, 58, 161, 16, 200
3, 1, 61, 106, 16, 200
3, 1, 79, 176, 16, 200
3, 1, 68, 194, 16, 200
3, 1, 70, 144, 16, 200
3, 1, 89, 202, 16, 200
3, 1, 87, 224, 16, 200
3, 1, 83, 222, 16, 200
3, 1, 82, 152, 16, 200
3, 1, 79, 172, 16, 200
3, 1, 61, 112, 16, 200
3, 1, 64, 207, 16, 200
3, 1, 73, 156, 16, 200
3, 1, 85, 210, 16, 200
