from, to, dqf, range, status, distance
3, 2, 100, 42, 16, 90
3, 2, 71, 55, 16, 90
3, 2, 60, 38, 16, 90
3, 2, 63, 34, 16, 90
3, 2, 81, 80, 16, 90
3, 2, 83, 87, 16, 90
3, 2, 71, 50, 16, 90
3, 2, 100, 38, 16, 90
3, 2, 75, 52, 16, 90
3, 2, 70, 57, 16, 90
3, 2, 100, 47, 16, 90
3, 2, 80, 58, 16, 90
3, 2, 70, 47, 16, 90
3, 2, 70, 52, 16, 90
3, 2, 100, 56, 16, 90
3, 2, 100, 45, 16, 90
3, 2, 75, 57, 16, 90
3, 2, 74, 42, 16, 90
3, 2, 70, 48, 16, 90
3, 2, 61, 51, 16, 90
3, 2, 78, 48, 16, 90
3, 2, 59, 36, 16, 90
3, 2, 83, 60, 16, 90
3, 2, 70, 49, 16, 90
3, 2, 78, 84, 16, 90
3, 2, 79, 58, 16, 90
3, 2, 78, 56, 16, 90
3, 2, 100, 51, 16, 90
3, 2, 73, 78, 16, 90
3, 2, 68, 46, 16, 90
3, 2, 87, 61, 16, 90
3, 2, 97, 80, 16, 90
3, 2, 70, 46, 16, 90
3, 2, 100, 47, 16, 90
3, 2, 83, 92, 16, 90
3, 2, 82, 62, 16, 90
3, 2, 100, 47, 16, 90
3, 2, 76, 55, 16, 90
3, 2, 73, 54, 16, 90
3, 2, 67, 52, 16, 90
3, 2, 70, 76, 16, 90
3, 2, 72, 56, 16, 90
3, 2, 100, 48, 16, 90
3, 2, 72, 54, 16, 90
3, 2, 74, 54, 16, 90
3, 2, 74, 55, 16, 90
3, 2, 76, 70, 16, 90
3, 2, 81, 49, 16, 90
3, 2, 88, 48, 16, 90
3, 2, 69, 51, 16, 90
