from, to, dqf, range, status, distance
3, 1, 89, 187, 16, 200
3, 1, 82, 177, 16, 200
3, 1, 86, 146, 16, 200
3, 1, 83, 127, 16, 200
3, 1, 78, 152, 16, 200
3, 1, 78, 105, 16, 200
3, 1, 75, 185, 16, 200
3, 1, 89, 177, 16, 200
3, 1, 78, 105, 16, 200
3, 1, 82, 135, 16, 200
3, 1, 88, 168, 16, 200
3, 1, 81, 162, 16, 200
3, 1, 79, 133, 16, 200
3, 1, 81, 138, 16, 200
3, 1, 60, 106, 16, 200
3, 1, 77, 106, 16, 200
3, 1, 90, 192, 16, 200
3, 1, 85, 165, 16, 200
3, 1, 89, 189, 16, 200
3, 1, 79, 105, 16, 200
3, 1, 85, 140, 16, 200
3, 1, 68, 100, 16, 200
3, 1, 89, 152, 16, 200
3, 1, 78, 102, 16, 200
3, 1, 77, 99, 16, 200
3, 1, 85, 149, 16, 200
3, 1, 91, 202, 16, 200
3, 1, 76, 101, 16, 200
3, 1, 86, 152, 16, 200
3, 1, 79, 135, 16, 200
3, 1, 82, 127, 16, 200
3, 1, 68, 109, 16, 200
3, 1, 82, 138, 16, 200
3, 1, 77, 126, 16, 200
3, 1, 85, 143, 16, 200
3, 1, 82, 119, 16, 200
3, 1, 78, 146, 16, 200
3, 1, 72, 110, 16, 200
3, 1, 79, 122, 16, 200
3, 1, 77, 112, 16, 200
3, 1, 87, 180, 16, 200
3, 1, 67, 135, 16, 200
3, 1, 80, 111, 16, 200
3, 1, 88, 175, 16, 200
3, 1, 66, 121, 16, 200
3, 1, 93, 190, 16, 200
3, 1, 69, 134, 16, 200
3, 1, 77, 116, 16, 200
3, 1, 78, 121, 16, 200
3, 1, 83, 131, 16, 200
