from, to, dqf, range, status, distance
2, 1, 84, 80, 16, 140
2, 1, 84, 135, 16, 140
2, 1, 89, 130, 16, 140
2, 1, 87, 176, 16, 140
2, 1, 90, 132, 16, 140
2, 1, 100, 198, 16, 140
2, 1, 75, 149, 16, 140
2, 1, 95, 162, 16, 140
2, 1, 58, 148, 16, 140
2, 1, 78, 148, 16, 140
2, 1, 74, 155, 16, 140
2, 1, 63, 136, 16, 140
2, 1, 94, 171, 16, 140
2, 1, 88, 165, 16, 140
2, 1, 82, 140, 16, 140
2, 1, 97, 177, 16, 140
2, 1, 87, 162, 16, 140
2, 1, 68, 148, 16, 140
2, 1, 91, 174, 16, 140
2, 1, 75, 198, 16, 140
2, 1, 65, 151, 16, 140
2, 1, 90, 164, 16, 140
2, 1, 73, 149, 16, 140
2, 1, 73, 158, 16, 140
2, 1, 93, 168, 16, 140
2, 1, 80, 120, 16, 140
2, 1, 100, 206, 16, 140
2, 1, 94, 183, 16, 140
2, 1, 88, 161, 16, 140
2, 1, 95, 184, 16, 140
2, 1, 97, 170, 16, 140
2, 1, 88, 179, 16, 140
2, 1, 94, 173, 16, 140
2, 1, 90, 158, 16, 140
2, 1, 94, 164, 16, 140
2, 1, 94, 146, 16, 140
2, 1, 87, 180, 16, 140
2, 1, 100, 211, 16, 140
2, 1, 90, 205, 16, 140
2, 1, 94, 171, 16, 140
2, 1, 89, 123, 16, 140
2, 1, 100, 193, 16, 140
2, 1, 58, 201, 16, 140
2, 1, 77, 132, 16, 140
2, 1, 100, 203, 16, 140
2, 1, 88, 170, 16, 140
2, 1, 99, 119, 16, 140
2, 1, 94, 196, 16, 140
2, 1, 100, 202, 16, 140
2, 1, 100, 165, 16, 140
2, 1, 100, 190, 16, 140
2, 1, 95, 205, 16, 140
2, 1, 95, 150, 16, 140
2, 1, 91, 183, 16, 140
2, 1, 88, 196, 16, 140
2, 1, 87, 196, 16, 140
2, 1, 91, 171, 16, 140
2, 1, 100, 203, 16, 140
2, 1, 85, 146, 16, 140
2, 1, 80, 109, 16, 140
2, 1, 95, 206, 16, 140
2, 1, 86, 142, 16, 140
2, 1, 70, 196, 16, 140
2, 1, 90, 190, 16, 140
2, 1, 90, 193, 16, 140
2, 1, 44, 189, 16, 140
2, 1, 92, 212, 16, 140
2, 1, 98, 160, 16, 140
2, 1, 86, 189, 16, 140
2, 1, 100, 171, 16, 140
2, 1, 85, 208, 16, 140
2, 1, 95, 197, 16, 140
2, 1, 71, 121, 16, 140
2, 1, 88, 174, 16, 140
2, 1, 97, 157, 16, 140
2, 1, 81, 162, 16, 140
2, 1, 87, 170, 16, 140
2, 1, 83, 116, 16, 140
2, 1, 79, 136, 16, 140
2, 1, 75, 120, 16, 140
2, 1, 89, 161, 16, 140
2, 1, 100, 192, 16, 140
2, 1, 100, 193, 16, 140
2, 1, 83, 116, 16, 140
2, 1, 80, 121, 16, 140
2, 1, 100, 162, 16, 140
2, 1, 76, 164, 16, 140
2, 1, 86, 158, 16, 140
2, 1, 100, 202, 16, 140
2, 1, 82, 97, 16, 140
2, 1, 87, 180, 16, 140
2, 1, 85, 206, 16, 140
2, 1, 60, 193, 16, 140
2, 1, 62, 199, 16, 140
2, 1, 77, 152, 16, 140
2, 1, 99, 205, 16, 140
2, 1, 100, 212, 16, 140
2, 1, 95, 136, 16, 140
2, 1, 92, 146, 16, 140
2, 1, 100, 177, 16, 140
2, 1, 97, 198, 16, 140
2, 1, 74, 168, 16, 140
2, 1, 87, 167, 16, 140
2, 1, 51, 146, 16, 140
2, 1, 73, 133, 16, 140
2, 1, 52, 160, 16, 140
2, 1, 90, 198, 16, 140
2, 1, 100, 209, 16, 140
2, 1, 75, 398, 16, 140
2, 1, 100, 201, 16, 140
2, 1, 94, 158, 16, 140
2, 1, 100, 192, 16, 140
2, 1, 100, 203, 16, 140
2, 1, 84, 168, 16, 140
2, 1, 87, 211, 16, 140
2, 1, 75, 109, 16, 140
2, 1, 70, 171, 16, 140
2, 1, 81, 195, 16, 140
2, 1, 70, 201, 16, 140
2, 1, 76, 119, 16, 140
2, 1, 90, 156, 16, 140
2, 1, 86, 168, 16, 140
2, 1, 80, 173, 16, 140
2, 1, 77, 199, 16, 140
2, 1, 75, 169, 16, 140
2, 1, 100, 191, 16, 140
2, 1, 88, 196, 16, 140
2, 1, 100, 195, 16, 140
2, 1, 100, 205, 16, 140
2, 1, 87, 149, 16, 140
2, 1, 100, 193, 16, 140
2, 1, 55, 192, 16, 140
2, 1, 83, 126, 16, 140
2, 1, 91, 190, 16, 140
2, 1, 91, 203, 16, 140
2, 1, 46, 180, 16, 140
2, 1, 73, 208, 16, 140
2, 1, 67, 136, 16, 140
2, 1, 82, 136, 16, 140
2, 1, 66, 179, 16, 140
2, 1, 45, 152, 16, 140
2, 1, 67, 154, 16, 140
2, 1, 63, 190, 16, 140
2, 1, 100, 145, 16, 140
2, 1, 100, 160, 16, 140
2, 1, 92, 181, 16, 140
2, 1, 75, 196, 16, 140
2, 1, 91, 161, 16, 140
2, 1, 73, 193, 16, 140
2, 1, 98, 174, 16, 140
2, 1, 82, 131, 16, 140
2, 1, 94, 193, 16, 140
2, 1, 100, 161, 16, 140
2, 1, 93, 155, 16, 140
2, 1, 89, 149, 16, 140
