from, to, dqf, range, status, distance
2, 3, 90, 149, 16, 130
2, 3, 93, 70, 16, 130
2, 3, 82, 81, 16, 130
2, 3, 75, 133, 16, 130
2, 3, 60, 93, 16, 130
2, 3, 100, 130, 16, 130
2, 3, 68, 101, 16, 130
2, 3, 0, 608, 16, 130
2, 3, 0, 576, 16, 130
2, 3, 100, 204, 16, 130
2, 3, 77, 70, 16, 130
2, 3, 67, 82, 16, 130
2, 3, 84, 134, 16, 130
2, 3, 100, 105, 16, 130
2, 3, 72, 62, 16, 130
2, 3, 100, 502, 16, 130
2, 3, 56, 84, 16, 130
2, 3, 73, 102, 16, 130
2, 3, 92, 93, 16, 130
2, 3, 78, 144, 16, 130
2, 3, 84, 130, 16, 130
2, 3, 97, 96, 16, 130
2, 3, 87, 128, 16, 130
2, 3, 93, 212, 16, 130
2, 3, 0, 112, 16, 130
2, 3, 66, 91, 16, 130
2, 3, 84, 113, 16, 130
2, 3, 88, 105, 16, 130
2, 3, 62, 72, 16, 130
2, 3, 81, 115, 16, 130
2, 3, 81, 86, 16, 130
2, 3, 0, 585, 16, 130
2, 3, 83, 121, 16, 130
2, 3, 91, 98, 16, 130
2, 3, 87, 113, 16, 130
2, 3, 59, 69, 16, 130
2, 3, 67, 98, 16, 130
2, 3, 79, 110, 16, 130
2, 3, 80, 98, 16, 130
2, 3, 0, 595, 16, 130
2, 3, 96, 80, 16, 130
2, 3, 87, 160, 16, 130
2, 3, 89, 135, 16, 130
2, 3, 100, 183, 16, 130
2, 3, 100, 230, 16, 130
2, 3, 87, 143, 16, 130
2, 3, 84, 107, 16, 130
2, 3, 91, 158, 16, 130
2, 3, 75, 118, 16, 130
2, 3, 73, 111, 16, 130
2, 3, 100, 184, 16, 130
2, 3, 85, 180, 16, 130
2, 3, 0, 111, 16, 130
2, 3, 97, 201, 16, 130
2, 3, 81, 146, 16, 130
2, 3, 90, 144, 16, 130
2, 3, 0, 558, 16, 130
2, 3, 86, 143, 16, 130
2, 3, 78, 143, 16, 130
2, 3, 70, 127, 16, 130
2, 3, 78, 189, 16, 130
2, 3, 77, 111, 16, 130
2, 3, 71, 90, 16, 130
2, 3, 100, 253, 16, 130
2, 3, 0, 615, 16, 130
2, 3, 92, 107, 16, 130
2, 3, 0, 701, 16, 130
2, 3, 88, 212, 16, 130
2, 3, 100, 212, 16, 130
2, 3, 79, 107, 16, 130
2, 3, 0, 593, 16, 130
2, 3, 0, 591, 16, 130
2, 3, 91, 61, 16, 130
2, 3, 93, 117, 16, 130
2, 3, 80, 78, 16, 130
2, 3, 82, 80, 16, 130
2, 3, 93, 219, 16, 130
2, 3, 100, 83, 16, 130
2, 3, 0, 580, 16, 130
2, 3, 69, 104, 16, 130
2, 3, 81, 65, 16, 130
2, 3, 0, 692, 16, 130
2, 3, 89, 206, 16, 130
2, 3, 78, 139, 16, 130
2, 3, 83, 79, 16, 130
2, 3, 74, 92, 16, 130
2, 3, 81, 83, 16, 130
2, 3, 91, 175, 16, 130
2, 3, 65, 111, 16, 130
2, 3, 74, 120, 16, 130
2, 3, 86, 145, 16, 130
2, 3, 94, 195, 16, 130
2, 3, 100, 229, 16, 130
2, 3, 86, 125, 16, 130
2, 3, 100, 121, 16, 130
2, 3, 91, 228, 16, 130
2, 3, 62, 104, 16, 130
2, 3, 92, 247, 16, 130
2, 3, 100, 66, 16, 130
2, 3, 0, 593, 16, 130
2, 3, 86, 130, 16, 130
2, 3, 0, 609, 16, 130
2, 3, 75, 100, 16, 130
2, 3, 74, 82, 16, 130
2, 3, 83, 130, 16, 130
2, 3, 80, 78, 16, 130
2, 3, 73, 67, 16, 130
2, 3, 79, 117, 16, 130
2, 3, 74, 126, 16, 130
2, 3, 74, 87, 16, 130
2, 3, 81, 67, 16, 130
2, 3, 80, 107, 16, 130
2, 3, 67, 125, 16, 130
2, 3, 86, 140, 16, 130
2, 3, 100, 227, 16, 130
2, 3, 0, 625, 16, 130
2, 3, 81, 129, 16, 130
2, 3, 78, 148, 16, 130
2, 3, 77, 99, 16, 130
2, 3, 85, 128, 16, 130
2, 3, 75, 125, 16, 130
2, 3, 100, 313, 16, 130
2, 3, 77, 239, 16, 130
2, 3, 86, 128, 16, 130
2, 3, 86, 98, 16, 130
2, 3, 85, 221, 16, 130
2, 3, 81, 103, 16, 130
2, 3, 69, 122, 16, 130
2, 3, 87, 127, 16, 130
2, 3, 79, 87, 16, 130
2, 3, 100, 124, 16, 130
2, 3, 87, 134, 16, 130
2, 3, 89, 121, 16, 130
2, 3, 91, 102, 16, 130
2, 3, 73, 90, 16, 130
2, 3, 95, 151, 16, 130
2, 3, 0, 627, 16, 130
2, 3, 0, 591, 16, 130
2, 3, 88, 105, 16, 130
2, 3, 85, 93, 16, 130
2, 3, 70, 71, 16, 130
2, 3, 74, 98, 16, 130
2, 3, 73, 124, 16, 130
2, 3, 99, 119, 16, 130
2, 3, 0, 600, 16, 130
2, 3, 75, 144, 16, 130
2, 3, 0, 836, 16, 130
